unix_ts,event,topic,seq,test_id,condition,payload_bytes,active_camera_mode,active_lidar_mode,video_enabled,lidar_enabled,notes
1779496205.5665634,ack_recv,latency_ack,154,C1_control_only,C1_control_only,90,off,off,False,False,rtt=21.44ms
1779496205.6574247,ack_recv,latency_ack,155,C1_control_only,C1_control_only,90,off,off,False,False,rtt=12.07ms
1779496205.7978046,ack_recv,latency_ack,156,C1_control_only,C1_control_only,90,off,off,False,False,rtt=51.91ms
1779496205.902673,ack_recv,latency_ack,157,C1_control_only,C1_control_only,90,off,off,False,False,rtt=56.70ms
1779496205.9954584,ack_recv,latency_ack,158,C1_control_only,C1_control_only,90,off,off,False,False,rtt=49.15ms
1779496206.106108,ack_recv,latency_ack,159,C1_control_only,C1_control_only,90,off,off,False,False,rtt=59.51ms
1779496206.1963446,ack_recv,latency_ack,160,C1_control_only,C1_control_only,90,off,off,False,False,rtt=49.28ms
1779496206.28046,ack_recv,latency_ack,161,C1_control_only,C1_control_only,90,off,off,False,False,rtt=33.08ms
1779496206.3657153,ack_recv,latency_ack,162,C1_control_only,C1_control_only,90,off,off,False,False,rtt=18.14ms
1779496206.4605,ack_recv,latency_ack,163,C1_control_only,C1_control_only,90,off,off,False,False,rtt=12.36ms
1779496206.565517,ack_recv,latency_ack,164,C1_control_only,C1_control_only,90,off,off,False,False,rtt=17.25ms
1779496206.6699893,ack_recv,latency_ack,165,C1_control_only,C1_control_only,90,off,off,False,False,rtt=20.09ms
1779496206.8048928,ack_recv,latency_ack,166,C1_control_only,C1_control_only,90,off,off,False,False,rtt=55.58ms
1779496206.8888874,ack_recv,latency_ack,167,C1_control_only,C1_control_only,90,off,off,False,False,rtt=37.63ms
1779496206.9670398,ack_recv,latency_ack,168,C1_control_only,C1_control_only,90,off,off,False,False,rtt=17.02ms
1779496207.072996,ack_recv,latency_ack,169,C1_control_only,C1_control_only,90,off,off,False,False,rtt=22.72ms
1779496207.1700518,ack_recv,latency_ack,170,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.40ms
1779496207.2658117,ack_recv,latency_ack,171,C1_control_only,C1_control_only,90,off,off,False,False,rtt=14.68ms
1779496207.3796177,ack_recv,latency_ack,172,C1_control_only,C1_control_only,90,off,off,False,False,rtt=27.99ms
1779496207.459159,ack_recv,latency_ack,173,C1_control_only,C1_control_only,90,off,off,False,False,rtt=7.17ms
1779496207.5688934,ack_recv,latency_ack,174,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.51ms
1779496207.6607625,ack_recv,latency_ack,175,C1_control_only,C1_control_only,90,off,off,False,False,rtt=8.04ms
1779496207.7963166,ack_recv,latency_ack,176,C1_control_only,C1_control_only,90,off,off,False,False,rtt=43.20ms
1779496207.8781796,ack_recv,latency_ack,177,C1_control_only,C1_control_only,90,off,off,False,False,rtt=24.59ms
1779496207.9718833,ack_recv,latency_ack,178,C1_control_only,C1_control_only,90,off,off,False,False,rtt=17.88ms
1779496208.0642617,ack_recv,latency_ack,179,C1_control_only,C1_control_only,90,off,off,False,False,rtt=10.04ms
1779496208.1804686,ack_recv,latency_ack,180,C1_control_only,C1_control_only,90,off,off,False,False,rtt=26.04ms
1779496208.2732158,ack_recv,latency_ack,181,C1_control_only,C1_control_only,90,off,off,False,False,rtt=17.23ms
1779496208.3768556,ack_recv,latency_ack,182,C1_control_only,C1_control_only,90,off,off,False,False,rtt=21.37ms
1779496208.4631379,ack_recv,latency_ack,183,C1_control_only,C1_control_only,90,off,off,False,False,rtt=7.52ms
1779496208.5668063,ack_recv,latency_ack,184,C1_control_only,C1_control_only,90,off,off,False,False,rtt=11.10ms
1779496208.6853561,ack_recv,latency_ack,185,C1_control_only,C1_control_only,90,off,off,False,False,rtt=29.12ms
1779496208.7822359,ack_recv,latency_ack,186,C1_control_only,C1_control_only,90,off,off,False,False,rtt=25.77ms
1779496208.8769193,ack_recv,latency_ack,187,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.89ms
1779496208.979569,ack_recv,latency_ack,188,C1_control_only,C1_control_only,90,off,off,False,False,rtt=22.35ms
1779496209.0766537,ack_recv,latency_ack,189,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.16ms
